Id,Regiao,Prima,CustoProduto,Pmaquinabase,Pmaquina1,Pmaquina2,Pmaquina3,Cmaquina1,Cmaquina2,Cmaquina3,Resposta
1,560,5073,15742,858.2,1268.82,1564.31,1748.41,959.199558910958,858.2,696.090496129284,1
2,558,1618,33277,1008.85,1411.35,1457.82,1583.61,1095.90000720254,1008.85,976.69153084743,1
3,554,1520,37175,910.08,1409.37,1575.85,1630.02,941.364090237015,910.08,813.93498721325,1
4,555,2238,58449,2218.16,3163.57,4220.16,4350.34,2286.58396231423,2218.16,1662.80530387473,1
5,554,3781,10349,628.48,1101.97,1398.68,1705.71,766.440229931078,628.48,495.156937684102,1
6,556,2327,57918,985.92,1845.36,2302.28,2614.68,1119.70103792762,985.92,790.250243758361,1
7,559,2536,30412,704.59,1082.8,1236.25,1317.88,751.114312800809,704.59,617.13249908999,1
8,558,1900,56178,1160.64,1316.29,1405.93,1439.89,1188.67506177406,1160.64,1086.63932457519,1
9,553,4088,61565,820.14,2009.09,2274.91,2622.09,945.303723048384,820.14,724.30780672642,1
10,553,3174,62700,1212.7,1824.67,2171.83,2273.11,1269.25242629488,1212.7,1018.85382787787,1
11,552,1749,27975,1011.64,1534.44,1716.8,1917.07,1129.65091728798,1011.64,904.182712954334,1
12,553,1854,28900,662.84,1028.62,1060.19,1151.82,720.127872173856,662.84,643.102161687999,1
13,553,1817,43511,1879.19,2402.73,3251.87,3449.9,1993.6275376937,1879.19,1388.48914277016,1
14,553,2129,48414,1496.42,2504.21,3013.17,3298.35,1638.04793854977,1496.42,1243.65698855358,1
15,553,1904,30113,1096.83,1608.38,1941.1,2085.03,1178.15849513163,1096.83,908.824602235846,1
16,555,5338,134565,1793.01,2216.18,2520.35,2682.31,1908.23046525284,1793.01,1576.61947816771,1
17,553,5435,85578,1203.83,3040.91,3241.63,3560.83,1322.36991232806,1203.83,1129.28948871401,1
18,553,2035,28137,773.06,1563.98,1413.85,1561.73,853.917313576405,773.06,855.147560773774,1
19,556,1862,48601,1163.43,1675.8,1773.89,1767.47,1159.21935525878,1163.43,1099.09633291805,1
20,553,1890,24601,936.39,1394.18,1577.68,1745.69,1036.10786667765,936.39,827.478455833883,1
21,557,3593,81532,1528.13,2671.24,3558.14,3873.11,1663.40154808411,1528.13,1147.22916501318,1
22,554,1350,22028,894.16,1404.86,1588.02,1755.9,988.687512751729,894.16,791.028839435271,1
23,554,7186,62769,1364.55,2982.55,3870.28,4083.16,1439.6053975423,1364.55,1051.56179979226,1
24,557,3660,32408,1990.67,2904.93,3822.23,4072.61,2121.07135067748,1990.67,1512.92753264456,1
25,553,3498,33240,2285.23,3678.35,4758.16,4951.92,2378.28827563596,2285.23,1766.62318427712,1
26,558,2057,76052,1407.09,1937.19,2232.38,2303.41,1451.86087355199,1407.09,1221.02898122184,1
27,553,4190,28210,937.88,1765.27,2135.92,2356.86,1034.89449829582,937.88,775.128013970561,1
28,554,1690,37039,903.37,1646.99,1706.07,1847.93,978.485363496222,903.37,872.086934475139,1
29,553,2121,48356,1484.66,1749.34,2177.89,2440.34,1663.57124758367,1484.66,1192.51896303303,1
30,557,3201,13904,608.67,1287.09,1406.61,1799.56,778.707804721991,608.67,556.951159383198,1
31,555,1935,70095,1151.95,1398.19,1375.92,1411.23,1181.5122961364,1151.95,1170.59492594046,1
32,553,3146,77506,2045.2,4253.5,5712.1,5616.65,2011.02441834001,2045.2,1522.95271441326,1
33,553,2057,46365,696.01,1264.01,1212.76,1301.97,747.20813656453,696.01,725.42267233418,1
34,555,1716,26606,723.53,1385.91,1418.71,1546.43,788.666110692108,723.53,706.802279747094,1
35,556,2536,15742,1014.8,1199.34,1475.89,1604.15,1102.98966725162,1014.8,824.648335580565,1
36,554,2597,6820,567.61,1070.06,1170.61,1340.13,649.807527101255,567.61,518.854918888443,1
37,552,1743,27765,677.57,1298.15,1397.5,1528.98,741.317337101968,677.57,629.400712343471,1
38,552,1600,22834,940.46,1139.84,1139.43,1225.53,1011.52501145309,940.46,940.798404816443,1
39,554,1743,30644,837.95,1683.28,1776.14,1908.05,900.182698154425,837.95,794.140369565462,1
40,558,2940,68610,1533.71,2320.89,2534.53,2704.08,1636.30911324782,1533.71,1404.43088142575,1
41,558,2345,87454,1618.81,2038.44,2472.86,2745.83,1797.50453414265,1618.81,1334.4253440955,1
42,554,1728,31989,789.17,1420.87,1431.4,1538.76,848.360506636859,789.17,783.364522774906,1
43,558,4844,78310,1629.17,2791.72,3630.72,3856.36,1730.41876575445,1629.17,1252.69546326899,1
44,558,3365,22411,644.36,924.41,1231.68,1385.81,724.993936412055,644.36,483.610050987269,1
